number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_learning_rate,params_model_name,params_norm,params_train_batch_size,params_training_loss,params_weight_decay,state
83,1.0798266168067743,1.6036690690266076,1.2716455114338492,2023-05-15 22:53:03.235802,2023-05-15 23:01:54.491218,0 days 00:08:51.255416,0.0010208522623232218,deeplabv3,negone,13,mae,0.000279636987561752,COMPLETE
84,1.2004482575417585,3.805324193029856,2.1856205621838853,2023-05-15 23:02:53.400267,2023-05-15 23:10:47.435506,0 days 00:07:54.035239,0.002448449289114721,pspnet,zscore,49,logcosh,9.944007125656899e-05,COMPLETE
85,3.363698754270117,12082.510398339658,162.51099774742013,2023-05-15 23:07:45.147748,2023-05-15 23:10:48.684045,0 days 00:03:03.536297,7.976449068198952e-05,deeplabv3,None,28,xsigmoid,0.0009090012253586355,COMPLETE
86,3.3699036459929377,12080.91972935831,162.50048374175802,2023-05-15 23:10:47.637956,2023-05-15 23:20:35.396656,0 days 00:09:47.758700,4.4133958269760825e-06,deeplabv3,None,86,xsigmoid,1.2487097863069158e-07,COMPLETE
87,1.1198504501011581,4.6517686636252975,2.5951392965533358,2023-05-15 23:10:48.762613,2023-05-15 23:42:48.791823,0 days 00:32:00.029210,4.905720662390903e-06,linknet,negone,18,logcosh,1.3106341895431222e-08,COMPLETE
88,32.72115702676542,6.431494444368609,3.0281208257801913,2023-05-15 23:20:35.588665,2023-05-15 23:24:01.398402,0 days 00:03:25.809737,0.00929281161418972,pspnet,zscore,13,huber,6.582839754379622e-10,COMPLETE
89,147.57001188748575,12056.507611742445,162.33530580550791,2023-05-15 23:24:01.563225,2023-05-15 23:26:56.993174,0 days 00:02:55.429949,0.0001580488864531804,fpn,None,46,smooth,1.900307759627449e-05,COMPLETE
90,35.613485373891315,12079.573756458907,162.49058590976657,2023-05-15 23:26:57.113026,2023-05-15 23:29:46.452746,0 days 00:02:49.339720,0.0001751592278721706,manet,None,70,mse,2.834644543541862e-12,COMPLETE
91,9297.411825686968,12056.507611742445,162.33530580550791,2023-05-15 23:29:46.566179,2023-05-15 23:32:21.031108,0 days 00:02:34.464929,0.004962861488763251,deeplabv3,None,52,mse,2.691359874908621e-08,COMPLETE
92,1.2294641488708884,5.02242656018898,2.5955528989484304,2023-05-15 23:32:21.164207,2023-05-15 23:45:42.806130,0 days 00:13:21.641923,2.977693129474864e-06,deeplabv3,zscore,97,xtanh,8.450621633455464e-06,COMPLETE
93,1.0863801832868576,1.610728225155834,1.3585409922969605,2023-05-15 23:42:48.962913,2023-05-15 23:58:04.016739,0 days 00:15:15.053826,5.147498376145928e-05,fpn,negone,104,smooth,3.597325254016482e-06,COMPLETE
94,25.019574540824557,12121.434409212174,162.77196465395133,2023-05-15 23:45:42.958561,2023-05-15 23:48:04.577408,0 days 00:02:21.618847,0.0002060117729654799,unet,None,90,mae,0.0007136982976987652,COMPLETE
95,14.520674544761993,12056.642526819503,162.3362127090091,2023-05-15 23:48:04.685743,2023-05-15 23:52:17.577177,0 days 00:04:12.891434,0.0054514443743185394,unet++,None,99,smooth,2.33779976958586e-11,COMPLETE
96,1.1932690567337354,3.7687278898014376,2.1498153623563563,2023-05-15 23:52:17.685387,2023-05-16 00:12:29.355128,0 days 00:20:11.669741,1.6422996865997474e-05,fpn,zscore,46,smooth,4.547659598285072e-09,COMPLETE
97,0.992608650415982,0.7484277230083016,0.9878152736819777,2023-05-15 23:58:04.150394,2023-05-16 00:32:17.371833,0 days 00:34:13.221439,3.1805174141372966e-06,unet++,minmax,43,xsigmoid,3.6903146541493926e-10,COMPLETE
98,26747.16715303372,12073.98243654154,162.45275631778873,2023-05-16 00:12:29.669632,2023-05-16 00:15:22.766056,0 days 00:02:53.096424,0.000390877528064621,unet,None,34,huber,0.00028132642574449736,COMPLETE
99,14.77941067265319,12060.845983717183,162.36473460715894,2023-05-16 00:15:22.891890,2023-05-16 00:19:07.586762,0 days 00:03:44.694872,0.0005024417053441236,manet,None,35,smooth,6.418056749538174e-10,COMPLETE
100,3.5650165313879536,12069.879804829929,162.42603086963646,2023-05-16 00:19:07.729933,2023-05-16 00:23:38.563683,0 days 00:04:30.833750,1.3860744890608772e-05,deeplabv3,None,14,xsigmoid,2.6458786925298e-07,COMPLETE
101,0.9617364840593089,0.4054740510836839,0.6999211013341545,2023-05-16 00:23:38.691600,2023-05-16 00:32:23.300081,0 days 00:08:44.608481,0.0066337302026373965,manet,minmax,22,xsigmoid,2.189854340132391e-09,COMPLETE
102,0.9631238303900141,0.4147483852224918,0.69435506450282,2023-05-16 00:33:59.290006,2023-05-16 00:41:40.013213,0 days 00:07:40.723207,0.0061605800062870236,manet,minmax,19,xsigmoid,1.6763224335293494e-09,COMPLETE
103,0.9584802411318466,0.37446581180835864,0.6691472795158696,2023-05-16 00:33:59.292862,2023-05-16 00:48:44.346828,0 days 00:14:45.053966,0.006987433076427495,manet,minmax,20,xsigmoid,1.3825333541607815e-05,COMPLETE
104,0.9585543966918144,0.375421975178379,0.6686828583650385,2023-05-16 00:41:40.134033,2023-05-16 00:56:00.706662,0 days 00:14:20.572629,0.007143110758623483,manet,minmax,20,xsigmoid,1.5267934812316881e-09,COMPLETE
105,0.9606517350504904,0.38396160339402274,0.6607556535902749,2023-05-16 00:48:44.463534,2023-05-16 00:58:52.347613,0 days 00:10:07.884079,0.006464953044895833,manet,minmax,21,xsigmoid,1.5278143870317222e-05,COMPLETE
106,0.9611842157863488,0.3896322081377738,0.6732584274896429,2023-05-16 00:56:00.820648,2023-05-16 01:06:31.051318,0 days 00:10:30.230670,0.00666079234865356,manet,minmax,23,xsigmoid,1.5082271504025292e-09,COMPLETE
107,0.9734686419162291,0.562910891252814,0.8110455440325541,2023-05-16 00:58:52.466511,2023-05-16 01:03:16.833525,0 days 00:04:24.367014,0.006970152273409945,manet,minmax,22,xsigmoid,2.2366685872092216e-06,COMPLETE
108,0.9596820722407965,0.3772541081598563,0.6612718249585643,2023-05-16 01:03:16.942594,2023-05-16 01:13:27.739492,0 days 00:10:10.796898,0.006918637534999957,manet,minmax,20,xsigmoid,2.1093826302306626e-09,COMPLETE
109,0.9581521565785472,0.3783238004029212,0.6747714786313492,2023-05-16 01:06:31.159247,2023-05-16 01:18:09.453270,0 days 00:11:38.294023,0.006970218723257492,manet,minmax,4,xsigmoid,8.968170688640422e-08,COMPLETE
110,0.9633032337375508,0.42142632800043084,0.7093965933718043,2023-05-16 01:13:27.838220,2023-05-16 01:19:15.432327,0 days 00:05:47.594107,0.007516710136709087,manet,minmax,7,xsigmoid,1.6191966112055169e-07,COMPLETE
111,0.9571805997988251,0.3497550669128384,0.6402654559313629,2023-05-16 01:18:09.557585,2023-05-16 01:37:02.171057,0 days 00:18:52.613472,0.007183826771872206,manet,minmax,4,xsigmoid,1.557866396348042e-07,COMPLETE
112,0.9574608681908005,0.35469109907388313,0.64492258230984,2023-05-16 01:19:15.576600,2023-05-16 01:37:55.547198,0 days 00:18:39.970598,0.0068011899032491725,manet,minmax,4,xsigmoid,9.429049666706594e-08,COMPLETE
113,0.9576935387540132,0.3728667368935769,0.6634941202407078,2023-05-16 01:37:02.341369,2023-05-16 01:48:52.983310,0 days 00:11:50.641941,0.007708951416112255,manet,minmax,4,xsigmoid,7.086516151466903e-08,COMPLETE
114,0.9609949733177563,0.39989837071013745,0.696097936817733,2023-05-16 01:37:55.705245,2023-05-16 01:51:19.417373,0 days 00:13:23.712128,0.007689060386907665,manet,minmax,5,xsigmoid,8.733898290404609e-08,COMPLETE
115,0.9622662207522916,0.40920970331706,0.6960784132844956,2023-05-16 01:48:53.385169,2023-05-16 01:54:57.649620,0 days 00:06:04.264451,0.007714388428795761,manet,minmax,5,xsigmoid,8.309781218589751e-08,COMPLETE
116,0.9572566251618847,0.3482835567087774,0.6377213777365726,2023-05-16 01:51:19.673180,2023-05-16 02:04:07.991145,0 days 00:12:48.317965,0.0059761486910645326,manet,minmax,4,xsigmoid,8.29843938633423e-09,COMPLETE
117,1.1259271269526334,2.0569969542091884,1.5560435649118767,2023-05-16 01:55:54.828151,2023-05-16 02:24:41.094887,0 days 00:28:46.266736,1.004622594813901e-06,manet,minmax,8,xsigmoid,0.00014734121539521436,COMPLETE
